Gene,logFC,p_value,adj_p,ID,Gene symbol,Gene title
205941_s_at,3.59237676099604,2.381322096941732e-37,1.299701787289828e-32,205941_s_at,COL10A1,collagen type X alpha 1 chain
223540_at,1.8649321363093885,3.4695956987435014e-30,9.468353182086078e-26,223540_at,NECTIN4,nectin cell adhesion molecule 4
59697_at,1.6786390538597291,1.012895335717497e-26,1.8427604842708424e-22,59697_at,RAB15,"RAB15, member RAS oncogene family"
1557289_s_at,2.1271589503659487,6.714833569926331e-26,8.740945652511417e-22,1557289_s_at,GTF2IRD2,GTF2I repeat domain containing 2
227641_at,3.054368928384614,8.00760883536838e-26,8.740945652511417e-22,227641_at,FBXL16,F-box and leucine rich repeat protein 16
217428_s_at,3.562617351289027,1.774347788168325e-25,1.5286310294395466e-21,217428_s_at,COL10A1,collagen type X alpha 1 chain
236462_at,1.5674910578478514,1.9605374239317e-25,1.5286310294395466e-21,236462_at,,
203878_s_at,3.4047777578755647,4.797245920352325e-25,3.2728610635863695e-21,203878_s_at,MMP11,matrix metallopeptidase 11
235538_at,2.5395486699632346,6.6168646239090455e-25,4.012687270092577e-21,235538_at,,
236659_x_at,1.3797706796023763,2.8158485845863663e-24,1.536861998981393e-20,236659_x_at,,
220085_at,2.110310588679866,4.583973196128406e-24,2.084905608929102e-20,220085_at,HELLS,"helicase, lymphoid-specific"
204379_s_at,2.8189632265848408,4.4030544717802965e-24,2.084905608929102e-20,204379_s_at,FGFR3,fibroblast growth factor receptor 3
230093_at,1.8621347982251173,6.887048979125873e-24,2.8914480479362385e-20,230093_at,RSPH1,radial spoke head 1 homolog
242056_at,2.124395065545815,1.4918060040072707e-23,5.815805706622345e-20,242056_at,TRIM45,tripartite motif containing 45
221973_at,2.789247531343327,2.7590035687134534e-23,1.0038910385120773e-19,221973_at,LOC100506123///LOC100506076,uncharacterized LOC100506123///uncharacterized LOC100506076
229276_at,1.7021726698925337,4.340857276127866e-23,1.4807478079611425e-19,229276_at,IGSF9,immunoglobulin superfamily member 9
226791_at,1.8515676922929856,4.871530244189513e-23,1.564019112927173e-19,226791_at,KIFC2,kinesin family member C2
213909_at,3.6399782894564487,7.618718884875067e-23,2.310122544542202e-19,213909_at,LRRC15,leucine rich repeat containing 15
230152_at,1.375960933580879,1.6785236916435697e-22,4.821691819274441e-19,230152_at,CFAP44,cilia and flagella associated protein 44
227177_at,1.3462979901923058,3.217890004047583e-22,8.781460926545653e-19,227177_at,CORO2A,coronin 2A
203911_at,1.8468638465888023,3.509981189206343e-22,9.122441110747285e-19,203911_at,RAP1GAP,RAP1 GTPase activating protein
240908_at,2.048898098088234,3.754315134211124e-22,9.313943895914045e-19,240908_at,,
1561166_a_at,1.6417410955774896,1.0715874376369565e-21,2.5428769895124978e-18,1561166_a_at,,
225687_at,2.4751788655684392,1.5986873049398365e-21,3.635614767346305e-18,225687_at,FAM83D,family with sequence similarity 83 member D
223229_at,2.057001598964366,1.842688282506744e-21,4.022883350837422e-18,223229_at,UBE2T,ubiquitin conjugating enzyme E2 T
204678_s_at,1.962889380248304,1.969392981192923e-21,4.0932566212430185e-18,204678_s_at,KCNK1,potassium two pore domain channel subfamily K member 1
220035_at,1.1558911019785052,2.0249167037424925e-21,4.0932566212430185e-18,220035_at,NUP210,nucleoporin 210
212858_at,2.447044942537332,3.327433391607097e-21,6.485999538590134e-18,212858_at,PAQR4,progestin and adipoQ receptor family member 4
1565717_s_at,1.209097721743778,4.026908917121998e-21,7.578781440951776e-18,1565717_s_at,FUS,FUS RNA binding protein
236700_at,1.7405683622426462,4.841575142360045e-21,8.524139667576415e-18,236700_at,EIF3C,eukaryotic translation initiation factor 3 subunit C
225617_at,1.0727249282454738,4.730715472026862e-21,8.524139667576415e-18,225617_at,ODF2,outer dense fiber of sperm tails 2
219786_at,1.7926704858925355,5.805185942226093e-21,9.901288860648686e-18,219786_at,TESMIN,testis expressed metallothionein like protein
210480_s_at,1.684428189425904,6.605019386673135e-21,1.0924101609249489e-17,210480_s_at,MYO6,myosin VI
202986_at,2.323822926427604,9.68188701756123e-21,1.55419915156316e-17,202986_at,ARNT2,aryl hydrocarbon receptor nuclear translocator 2
212472_at,1.972143196995472,1.0504824740528104e-20,1.638122370037953e-17,212472_at,MICAL2,"microtubule associated monooxygenase, calponin and LIM domain containing 2"
234199_at,1.5271199015729615,1.9040838462805328e-20,2.886749784615145e-17,234199_at,,
222723_at,1.334554713037332,2.820465718692394e-20,4.160491850284113e-17,222723_at,VWA1,von Willebrand factor A domain containing 1
238028_at,1.0200548079722842,4.3607878842333997e-20,6.263353735094071e-17,238028_at,C6orf132,chromosome 6 open reading frame 132
239155_at,2.748103521766403,4.7376315835082984e-20,6.630133184520495e-17,239155_at,CXADR,coxsackie virus and adenovirus receptor
226121_at,1.9870039024564496,4.8721912402493916e-20,6.64798314253929e-17,226121_at,DHRS13,dehydrogenase/reductase 13
236279_at,1.51712737100905,5.0604965342083394e-20,6.736508300989193e-17,236279_at,,
1562416_at,1.318570545254523,5.7723459249603e-20,7.50116352948591e-17,1562416_at,,
1559491_at,2.877734624953056,6.446216361874517e-20,8.182047507319751e-17,1559491_at,,
239653_at,1.5146920969570128,8.301794453167486e-20,1.0207206427658351e-16,239653_at,,
226350_at,1.9329482287194584,8.415769604511366e-20,1.0207206427658351e-16,226350_at,CHML,"CHM like, Rab escort protein 2"
204351_at,4.353546763707579,1.235951958609681e-19,1.4664569988903864e-16,204351_at,S100P,S100 calcium binding protein P
223575_at,0.9905890005079184,1.303836877296588e-19,1.5140875090632018e-16,223575_at,KIAA1549,KIAA1549
233198_at,1.2658679070367649,1.3372947063429314e-19,1.5205876620310594e-16,233198_at,GOLGA2P5,golgin A2 pseudogene 5
230324_at,1.1068567174705866,1.5824103065912445e-19,1.7625790229274192e-16,230324_at,,
230951_at,1.4788788676911755,1.7381723705516822e-19,1.897354196246805e-16,230951_at,EPB41L5,erythrocyte membrane protein band 4.1 like 5
218009_s_at,3.403021067105773,2.4307585633510504e-19,2.6013406201791567e-16,218009_s_at,PRC1,protein regulator of cytokinesis 1
1559401_a_at,1.6242911266091644,2.7421243807487087e-19,2.8781232034016112e-16,1559401_a_at,,
1556432_at,0.912844192651018,3.509065944902149e-19,3.613609626543668e-16,1556432_at,,
223233_s_at,2.4888052578619897,3.9313688560924905e-19,3.9735218666050383e-16,223233_s_at,CGN,cingulin
236534_at,2.603686929804863,4.343685497896123e-19,4.310436559812228e-16,236534_at,BNIPL///C1orf56,BCL2 interacting protein like///chromosome 1 open reading frame 56
219411_at,1.8419316666860877,5.28694052898831e-19,5.15278441306523e-16,219411_at,ELMO3,engulfment and cell motility 3
1553015_a_at,1.354663936759616,7.441303511729121e-19,7.125243936257257e-16,1553015_a_at,RECQL4,RecQ like helicase 4
226566_at,1.617754978513008,7.782446084657337e-19,7.323415945767461e-16,226566_at,TRIM11,tripartite motif containing 11
231815_at,1.3289801984106329,8.596548870533741e-19,7.952390522116289e-16,231815_at,PHF12,PHD finger protein 12
235152_at,1.5432452183371037,9.92006679858784e-19,9.023788763335428e-16,235152_at,LOC101927204,uncharacterized LOC101927204
235542_at,2.276297726359731,1.011001911029459e-18,9.045815295422433e-16,235542_at,TET3,tet methylcytosine dioxygenase 3
204967_at,1.174013983019797,1.258960012001411e-18,1.1082706208875001e-15,204967_at,SHROOM2,shroom family member 2
240240_at,0.8270612539615363,1.6168334269852432e-18,1.4007166922448824e-15,240240_at,,
222338_x_at,1.4336416641804322,1.674485886255868e-18,1.4279963310306097e-15,222338_x_at,,
205713_s_at,3.433592449523757,1.888063390000909e-18,1.5853632578901481e-15,205713_s_at,COMP,cartilage oligomeric matrix protein
206546_at,2.1962704917494364,2.406858023332229e-18,1.990362182658329e-15,206546_at,SYCP2,synaptonemal complex protein 2
242922_at,0.7696673260197961,2.9135689505175998e-18,2.373428055974628e-15,242922_at,NOMO3,NODAL modulator 3
211048_s_at,1.529249144807693,3.6736716768576175e-18,2.9486077419295865e-15,211048_s_at,PDIA4,protein disulfide isomerase family A member 4
210052_s_at,2.398062435375567,3.77823731672732e-18,2.9885857175313098e-15,210052_s_at,TPX2,"TPX2, microtubule nucleation factor"
229691_at,2.0030827092392536,4.093655746027772e-18,3.191823385177854e-15,229691_at,ZBTB42,zinc finger and BTB domain containing 42
225263_at,1.2924404190967156,4.2947350650279944e-18,3.3014414804811677e-15,225263_at,HS6ST1,heparan sulfate 6-O-sulfotransferase 1
240666_at,1.3809407757115415,4.649972236634181e-18,3.5248727042119026e-15,240666_at,,
34260_at,1.378088852216064,5.4628710348781644e-18,3.9807001617553545e-15,34260_at,TELO2,telomere maintenance 2
244349_at,0.9275295337058838,5.470098611767375e-18,3.9807001617553545e-15,244349_at,,
213681_at,1.221404136830316,5.367890568862002e-18,3.9807001617553545e-15,213681_at,CYHR1,cysteine and histidine rich 1
230792_at,1.570615526442873,5.808362069926318e-18,4.171244650190901e-15,230792_at,FAAH2,fatty acid amide hydrolase 2
230491_at,2.2235213766408384,6.0955887036918494e-18,4.320664102062305e-15,230491_at,,
1556474_a_at,2.494717577816175,6.5341667683859995e-18,4.572157539124865e-15,1556474_a_at,LOC285097,uncharacterized FLJ38379
240601_at,1.4235125919988665,6.768067598093038e-18,4.6174295179539976e-15,240601_at,,
242196_at,0.9584531341911752,6.7413724876400986e-18,4.6174295179539976e-15,242196_at,ARHGAP32,Rho GTPase activating protein 32
204971_at,-2.379417908453624,7.60411278624779e-18,5.1237638488965204e-15,204971_at,CSTA,cystatin A
210511_s_at,3.7257342346792974,8.20816728979883e-18,5.397791943472865e-15,210511_s_at,INHBA,inhibin beta A subunit
235008_at,1.696412279786199,8.208591790033671e-18,5.397791943472865e-15,235008_at,,
1558290_a_at,2.185915718686087,1.1082117847011517e-17,7.200606071095733e-15,1558290_a_at,MIR1204///PVT1,microRNA 1204///Pvt1 oncogene (non-protein coding)
234057_at,1.906869344877829,1.1574126513847593e-17,7.425004771694362e-15,234057_at,,
238134_at,1.8050799811334808,1.169956229256152e-17,7.425004771694362e-15,238134_at,,
205774_at,2.9012863200118764,1.321950648148387e-17,8.293189014401243e-15,205774_at,F12,coagulation factor XII
225237_s_at,1.3123146593240973,1.3713421656868304e-17,8.505282279661536e-15,225237_s_at,MSI2,musashi RNA binding protein 2
1554501_at,1.3866927480820137,1.4160128024910817e-17,8.683658735636039e-15,1554501_at,TSC22D4,TSC22 domain family member 4
235856_at,2.6561777778993214,1.5219287859509728e-17,9.229483467602016e-15,235856_at,,
222771_s_at,1.4307931132494334,1.6254989602946477e-17,9.749242610321054e-15,222771_s_at,MYEF2,myelin expression factor 2
204922_at,1.5244849908766982,1.6569733207512788e-17,9.82999422535696e-15,204922_at,C11orf80,chromosome 11 open reading frame 80
208757_at,0.9681276862658406,1.8030760112044252e-17,1.05817296360781e-14,208757_at,TMED9,transmembrane p24 trafficking protein 9
1557527_at,1.107559735378394,1.9725156029255252e-17,1.1452971180007688e-14,1557527_at,,
233014_at,1.4414383480480768,2.0230264856861096e-17,1.1622606585501282e-14,233014_at,IDI1,isopentenyl-diphosphate delta isomerase 1
219562_at,2.413103722678167,2.266657718276359e-17,1.288665745893806e-14,219562_at,RAB26,"RAB26, member RAS oncogene family"
239153_at,1.6064145882720569,2.8628019855079603e-17,1.6108130883199894e-14,239153_at,HOTAIR,HOX transcript antisense RNA
222034_at,1.213065469558824,3.037146568502893e-17,1.6914736996155038e-14,222034_at,SNORD96A///SNORD95///RACK1,"small nucleolar RNA, C/D box 96A///small nucleolar RNA, C/D box 95///receptor for activated C kinase 1"
1568838_at,2.1788036420197976,3.4590589108542825e-17,1.9069896595506652e-14,1568838_at,WASIR2,WASH and IL9R antisense RNA 2
1552621_at,1.7764425040582594,3.702886322830665e-17,2.0209983261377487e-14,1552621_at,UPK3BL///POLR2J3///POLR2J2///POLR2J,uroplakin 3B-like///RNA polymerase II subunit J3///RNA polymerase II subunit J2///RNA polymerase II subunit J
206346_at,2.232246442957014,4.202345561454485e-17,2.2708892910754887e-14,206346_at,PRLR,prolactin receptor
201786_s_at,1.412406644317301,4.443558858012651e-17,2.3776960677595343e-14,201786_s_at,ADAR,"adenosine deaminase, RNA specific"
244473_at,1.6625522707115383,4.8849869537031364e-17,2.5885213878268303e-14,244473_at,,
201896_s_at,1.863858370925904,4.938564004818201e-17,2.5917488924901208e-14,201896_s_at,PSRC1,proline and serine rich coiled-coil 1
202580_x_at,1.5276287921368783,5.2369421791545585e-17,2.6964817660007235e-14,202580_x_at,FOXM1,forkhead box M1
1552930_at,1.4883748598127855,5.2230602791374486e-17,2.6964817660007235e-14,1552930_at,MMEL1,membrane metallo-endopeptidase-like 1
210108_at,2.1373339722647047,5.859394246509202e-17,2.988783911964726e-14,210108_at,CACNA1D,calcium voltage-gated channel subunit alpha1 D
239022_at,0.9741012328438908,6.155579725535088e-17,3.1107906096294406e-14,239022_at,,
223232_s_at,3.0740049815435544,6.43159853566802e-17,3.2204607016350904e-14,223232_s_at,CGN,cingulin
1557383_a_at,1.7079388252285046,6.642968322389606e-17,3.296059709706384e-14,1557383_a_at,,
1554408_a_at,1.5361540586804296,7.172725546830798e-17,3.5268485371214244e-14,1554408_a_at,TK1,thymidine kinase 1
237107_at,1.7341372108868764,8.060399474821489e-17,3.927933419073947e-14,237107_at,PRKRA,protein activator of interferon induced protein kinase EIF2AK2
203452_at,1.236998768086539,8.142172249052944e-17,3.9326691962925725e-14,203452_at,B3GAT3,"beta-1,3-glucuronyltransferase 3"
200058_s_at,1.0722777434609745,9.143997243447864e-17,4.3778089960538685e-14,200058_s_at,LOC101929240///SNRNP200,U5 small nuclear ribonucleoprotein 200 kDa helicase pseudogene///small nuclear ribonucleoprotein U5 subunit 200
215631_s_at,1.0359502773687763,1.0097546060911723e-16,4.7922953605087046e-14,215631_s_at,BRMS1,breast cancer metastasis suppressor 1
219053_s_at,1.5052613979360876,1.407441067835633e-16,6.622131555293191e-14,219053_s_at,VPS37C,"VPS37C, ESCRT-I subunit"
214112_s_at,1.0331630824377838,1.430440107846954e-16,6.672819713348626e-14,214112_s_at,CXorf40B///CXorf40A,chromosome X open reading frame 40B///chromosome X open reading frame 40A
230000_at,2.7440472142669696,1.4455285192768546e-16,6.686059411323005e-14,230000_at,RNF213,ring finger protein 213
239886_at,0.8121586799326921,1.5825608018731726e-16,7.258368571885371e-14,239886_at,,
203956_at,1.3281432589010151,1.6634222738264632e-16,7.565660356931212e-14,203956_at,MORC2,MORC family CW-type zinc finger 2
242424_at,0.7073750587409506,1.717827509584529e-16,7.748537821951571e-14,242424_at,,
201013_s_at,1.6296230837647068,1.7334786250109663e-16,7.755043432333897e-14,201013_s_at,PAICS,phosphoribosylaminoimidazole carboxylase; phosphoribosylaminoimidazolesuccinocarboxamide synthase
201287_s_at,4.353979781780542,1.8173311346927051e-16,8.06407447157668e-14,201287_s_at,SDC1,syndecan 1
1556054_at,0.97250742672511,1.8702415163243303e-16,8.231928364473034e-14,1556054_at,,
37892_at,5.376979471180996,1.9421443598957527e-16,8.480023761500027e-14,37892_at,COL11A1,collagen type XI alpha 1 chain
225777_at,2.412374771354072,2.0401135866161599e-16,8.837092019358999e-14,225777_at,SAPCD2,suppressor APC domain containing 2
235701_at,1.9236759097845024,2.1764711290119126e-16,9.353513208688283e-14,235701_at,,
232202_at,1.525212504511877,2.3325688865326143e-16,9.946037285786215e-14,232202_at,FAM83B,family with sequence similarity 83 member B
243857_at,1.1021198862941155,3.5367901370118715e-16,1.496391231689697e-13,243857_at,MORF4L2,mortality factor 4 like 2
226118_at,0.968137523327488,3.5910954838047715e-16,1.5076800031583128e-13,226118_at,CENPO,centromere protein O
213947_s_at,1.825380687777716,3.67458280101427e-16,1.5309546160042584e-13,213947_s_at,NUP210,nucleoporin 210
216251_s_at,1.20911695574887,3.864548759488171e-16,1.597903081394734e-13,216251_s_at,TTLL12,tubulin tyrosine ligase like 12
229305_at,1.4454963130311085,4.166035149156185e-16,1.7096092662089885e-13,229305_at,CENPU,centromere protein U
1555870_at,1.264738873957577,4.658809139739429e-16,1.8975607764017785e-13,1555870_at,RNF207,ring finger protein 207
241863_x_at,0.9735766206809946,4.74426576753149e-16,1.9180539357488978e-13,241863_x_at,TTC14,tetratricopeptide repeat domain 14
203022_at,1.4464730949264697,5.250668620326216e-16,2.1071782546234155e-13,203022_at,RNASEH2A,ribonuclease H2 subunit A
201074_at,1.2198848959705932,5.746161935867329e-16,2.272607045635528e-13,201074_at,SMARCC1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1"
238617_at,1.987646929533935,5.74107373561837e-16,2.272607045635528e-13,238617_at,KIF26B,kinesin family member 26B
202779_s_at,1.456530965008484,6.240216101286738e-16,2.4502500330368985e-13,202779_s_at,UBE2S,ubiquitin conjugating enzyme E2 S
229899_s_at,2.193119513794681,6.882066736120352e-16,2.663945534685906e-13,229899_s_at,ZFAS1,ZNFX1 antisense RNA 1
222904_s_at,1.6422208298947938,6.863388044312057e-16,2.663945534685906e-13,222904_s_at,TMC5,transmembrane channel like 5
243205_at,1.2210090778608622,7.736006175822566e-16,2.9734047962691533e-13,243205_at,,
222361_at,1.3776342156216064,8.110705382172115e-16,3.095623699675328e-13,222361_at,TUBBP5,tubulin beta pseudogene 5
244375_at,1.3733578950316732,8.321764071535129e-16,3.1541219531966374e-13,244375_at,,
236934_at,2.0365554760848417,8.418010547712926e-16,3.1685972254043017e-13,236934_at,,
212109_at,1.3838650250401558,1.0267582811318332e-15,3.8383178236913923e-13,212109_at,HN1L,hematological and neurological expressed 1 like
223284_at,2.3232288710039573,1.0843709737607048e-15,4.026114515434388e-13,223284_at,NAT14,N-acetyltransferase 14 (putative)
223822_at,1.4097168946928744,1.130264832961204e-15,4.168157048526321e-13,223822_at,SUSD4,sushi domain containing 4
241838_at,2.166635149981336,1.1742840296552829e-15,4.301426043929912e-13,241838_at,,
220969_s_at,1.4972108878648216,1.4007440671033274e-15,5.096747362562167e-13,220969_s_at,,
226424_at,1.7747874307369909,1.4527453527194949e-15,5.25095288781969e-13,226424_at,CAPS,calcyphosine
236429_at,1.029265303850679,1.4625808038719386e-15,5.251723532534641e-13,236429_at,ZNF83,zinc finger protein 83
235871_at,0.7909228332381195,1.537561583691636e-15,5.484874096490575e-13,235871_at,LIPH,lipase H
229795_at,1.460425422432694,1.5804296334940257e-15,5.601186296524053e-13,229795_at,,
224888_at,1.5498521506838203,1.6577558287725065e-15,5.837332605069331e-13,224888_at,EPT1,ethanolaminephosphotransferase 1
227894_at,2.7700605414909534,1.6977909215953644e-15,5.902148452850535e-13,227894_at,WDR90,WD repeat domain 90
235736_at,1.094876866575226,1.696971112283365e-15,5.902148452850535e-13,235736_at,SMKR1,small lysine rich protein 1
241885_at,1.103140559298646,1.7912929605671403e-15,6.128662836129313e-13,241885_at,,
228236_at,0.949165646521494,1.796636167355008e-15,6.128662836129313e-13,228236_at,SLC52A3,solute carrier family 52 member 3
213641_at,0.7552811842234188,1.7955437410469073e-15,6.128662836129313e-13,213641_at,ZNF500,zinc finger protein 500
234032_at,2.891007768775451,1.8184286840951447e-15,6.164473239082541e-13,234032_at,,
1557238_s_at,0.7353709790090495,1.8617008114141595e-15,6.272207937418113e-13,1557238_s_at,,
230884_s_at,1.29593730428733,1.9428422966581152e-15,6.465755470079468e-13,230884_s_at,LOC101930112///SPG7,"uncharacterized LOC101930112///SPG7, paraplegin matrix AAA peptidase subunit"
232510_s_at,1.54127725389536,1.938354591197989e-15,6.465755470079468e-13,232510_s_at,DPP3,dipeptidyl peptidase 3
244264_at,1.817769793585408,1.955269790257133e-15,6.467676962572369e-13,244264_at,KLRG2,killer cell lectin like receptor G2
201460_at,1.2941779477109678,2.117375673630301e-15,6.961701619943867e-13,201460_at,MAPKAPK2,mitogen-activated protein kinase-activated protein kinase 2
230763_at,1.489347610200226,2.3185470547630056e-15,7.577483814485634e-13,230763_at,SPATA17,spermatogenesis associated 17
233317_at,0.9998625488829194,2.8525875123976943e-15,9.218098013158278e-13,233317_at,CD9,CD9 molecule
242243_at,0.5165455162358592,2.854318628453708e-15,9.218098013158278e-13,242243_at,TMF1,TATA element modulatory factor 1
228387_at,1.1441948789004526,2.943352816710997e-15,9.449720787251145e-13,228387_at,LINC01355,long intergenic non-protein coding RNA 1355
229802_at,2.4615522667222853,3.028738667833729e-15,9.66698992699983e-13,229802_at,WISP1,WNT1 inducible signaling pathway protein 1
1560763_at,1.0067341521713795,3.199890082208775e-15,1.0153883767260045e-12,1560763_at,,
226444_at,2.107562989759049,3.3122195519198024e-15,1.0449574041863057e-12,226444_at,LOC107985971,uncharacterized LOC107985971
1556373_a_at,1.7394451581515833,3.4114366387774627e-15,1.0700735649875582e-12,1556373_a_at,FAM185A,family with sequence similarity 185 member A
221978_at,1.1331940131736449,3.5241302910581976e-15,1.0991057551752306e-12,221978_at,HLA-F,"major histocompatibility complex, class I, F"
201482_at,1.2480792622443424,4.099057739419336e-15,1.2711504111350449e-12,201482_at,QSOX1,quiescin sulfhydryl oxidase 1
223339_at,1.801979329648757,4.196814976875017e-15,1.294112794479444e-12,223339_at,ATPIF1,ATPase inhibitory factor 1
219598_s_at,-0.9837582026459284,4.377325118653037e-15,1.34219116657845e-12,219598_s_at,RWDD1,RWD domain containing 1
209342_s_at,1.2237716804886904,4.495239746488791e-15,1.364989990896611e-12,209342_s_at,IKBKB,"inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta"
204413_at,0.622926030490949,4.5016984254271785e-15,1.364989990896611e-12,204413_at,TRAF2,TNF receptor associated factor 2
1557193_at,0.8219754339049787,4.5648536152722345e-15,1.368929370702985e-12,1557193_at,,
234709_at,1.4066684900933248,4.541356976043786e-15,1.368929370702985e-12,234709_at,CAPN13,calpain 13
219499_at,1.462899103520925,4.593904204891358e-15,1.370113101632598e-12,219499_at,SEC61A2,Sec61 translocon alpha 2 subunit
209732_at,-2.06003212161086,4.710229619932142e-15,1.3971718610123717e-12,209732_at,CLEC2B,C-type lectin domain family 2 member B
202039_at,1.728303411009053,4.971420720988295e-15,1.4666766028692981e-12,202039_at,MYO18A///TIAF1,myosin XVIIIA///TGFB1-induced anti-apoptotic factor 1
206316_s_at,1.1915119044377818,5.254933404303197e-15,1.5419839262014202e-12,206316_s_at,KNTC1,kinetochore associated 1
229064_s_at,0.9012324258891392,5.32066689701252e-15,1.5529234148237769e-12,229064_s_at,RCAN3,RCAN family member 3
241755_at,0.743243090650453,5.830383228886855e-15,1.6926408843054025e-12,241755_at,UQCRC2,ubiquinol-cytochrome c reductase core protein II
1562235_s_at,3.0017595595695674,5.9938689735312206e-15,1.730896162467516e-12,1562235_s_at,,
209603_at,4.439031404167422,6.284750968086765e-15,1.8053443320379345e-12,209603_at,GATA3,GATA binding protein 3
210117_at,1.5430735129869917,6.388706391483308e-15,1.8255979379097774e-12,210117_at,SPAG1,sperm associated antigen 1
218677_at,3.3253993683382363,6.5590625968088976e-15,1.856426814642344e-12,218677_at,S100A14,S100 calcium binding protein A14
214092_x_at,1.2899589090073578,6.5646196380654155e-15,1.856426814642344e-12,214092_x_at,SUGP2,SURP and G-patch domain containing 2
227232_at,3.206670750822968,6.625491505690426e-15,1.863982994273597e-12,227232_at,EVL,Enah/Vasp-like
235976_at,2.5408642481645902,6.912569015794851e-15,1.934774893913165e-12,235976_at,SLITRK6,SLIT and NTRK like family member 6
219482_at,1.232570930240386,7.385350671591296e-15,2.0538506307975216e-12,219482_at,SETD4,SET domain containing 4
202956_at,1.0337049478823523,7.413264703770896e-15,2.0538506307975216e-12,202956_at,ARFGEF1,ADP ribosylation factor guanine nucleotide exchange factor 1
202718_at,1.9032166655995464,7.789958916847244e-15,2.1473139783969985e-12,202718_at,IGFBP2,insulin like growth factor binding protein 2
241505_at,3.200626626644232,9.136974576075912e-15,2.505964499435413e-12,241505_at,,
212023_s_at,1.0236790603246586,9.641126651388511e-15,2.6310152575306684e-12,212023_s_at,MKI67,marker of proliferation Ki-67
235804_at,0.8975895249264703,9.716043892874146e-15,2.6382684558665573e-12,235804_at,,
226548_at,1.7776270981730784,9.953803769954092e-15,2.6894487918827936e-12,226548_at,SBK1,SH3 domain binding kinase 1
1566901_at,0.790013293434956,1.0388143369247408e-14,2.792977718966277e-12,1566901_at,TGIF1,TGFB induced factor homeobox 1
206595_at,1.5422306584281644,1.1006053932849371e-14,2.944604988240126e-12,206595_at,CST6,cystatin E/M
239639_at,1.4896177577556555,1.1163819236725792e-14,2.972244342054912e-12,239639_at,,
215714_s_at,2.171966728645928,1.1344407117880511e-14,3.0056621169262155e-12,215714_s_at,SMARCA4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4"
236742_at,1.3819840510226236,1.2686183597984932e-14,3.3288423778577866e-12,236742_at,,
235095_at,1.9040906925497716,1.2653591305503411e-14,3.3288423778577866e-12,235095_at,BICDL2,BICD family like cargo adaptor 2
228441_s_at,0.8600917987132353,1.3411455476623591e-14,3.5023149687016213e-12,228441_s_at,,
203713_s_at,2.770734090938915,1.4434163317520212e-14,3.7419429541601896e-12,203713_s_at,LLGL2,"LLGL2, scribble cell polarity complex component"
222621_at,1.596105697880093,1.4466185956646334e-14,3.7419429541601896e-12,222621_at,DNAJC1,DnaJ heat shock protein family (Hsp40) member C1
203228_at,3.836438500257352,1.5880208228415437e-14,4.08832964574852e-12,203228_at,PAFAH1B3,platelet activating factor acetylhydrolase 1b catalytic subunit 3
213201_s_at,2.43664748116459,1.602844118490469e-14,4.1071187391122676e-12,213201_s_at,TNNT1,"troponin T1, slow skeletal type"
233273_at,1.1859071610118797,1.6572267890448123e-14,4.22662527660172e-12,233273_at,,
202220_at,1.8810257097437768,1.6723631579946477e-14,4.245391106985576e-12,202220_at,KIAA0907,KIAA0907
211712_s_at,2.1290451140667424,1.7008834606837045e-14,4.297801777808144e-12,211712_s_at,ANXA9,annexin A9
243329_at,2.9796641599711524,1.745205893834489e-14,4.389474307815326e-12,243329_at,,
204828_at,1.064092240516401,1.8055546789071286e-14,4.5204297623886325e-12,204828_at,RAD9A,RAD9 checkpoint clamp component A
226132_s_at,1.498180909257918,1.853915134299352e-14,4.620312060042208e-12,226132_s_at,MANEAL,mannosidase endo-alpha like
240192_at,1.6839714299298651,1.9297977034055045e-14,4.787564947916774e-12,240192_at,GATA3-AS1,GATA3 antisense RNA 1
225891_at,1.1695183899332575,1.956064183934544e-14,4.830770456785677e-12,225891_at,TPRN,taperin
222668_at,2.438392500429868,1.9776666945839435e-14,4.862120293860228e-12,222668_at,KCTD15,potassium channel tetramerization domain containing 15
238902_at,1.6668822918880108,2.0164671754531292e-14,4.935280805787279e-12,238902_at,,
219494_at,0.948617175389141,2.045773853735467e-14,4.984655855492324e-12,219494_at,RAD54B,RAD54 homolog B (S. cerevisiae)
227884_at,1.7663465956645927,2.1219092147437907e-14,5.147185912511172e-12,227884_at,TAF15,TATA-box binding protein associated factor 15
232696_at,1.4508725052138,2.197007173451501e-14,5.3057723238853746e-12,232696_at,,
208988_at,1.5017115199807716,2.2167026214069376e-14,5.327542255435124e-12,208988_at,KDM2A,lysine demethylase 2A
210735_s_at,1.310925192199662,2.2255439532406392e-14,5.327542255435124e-12,210735_s_at,CA12,carbonic anhydrase 12
209529_at,2.511082413789028,2.2619840206955317e-14,5.391127767054209e-12,209529_at,PLPP2,phospholipid phosphatase 2
210056_at,1.23266905354751,2.3139635161873496e-14,5.491035423912581e-12,210056_at,RND1,Rho family GTPase 1
213651_at,1.17902258722285,2.3832376566588528e-14,5.630940608778508e-12,213651_at,INPP5J,inositol polyphosphate-5-phosphatase J
203744_at,2.60138961378337,2.3983412450373076e-14,5.642201155728069e-12,203744_at,HMGB3,high mobility group box 3
